hdbscan_topic_all,agent,success_rate
-1,ExpeRepair_Claude4,0.7
-1,SWE-agent_Claude4,0.6
-1,SWE-agent_Claude3_7,0.5
-1,KGCompass_Claude4,0.4
-1,SWE-Fixer_Qwen25-7b,0.4
-1,Refact_ai_Agent,0.3
-1,KGCompass_DeepSeek_V3,0.3
-1,Moatless_Tools_Deepseek_V3,0.2
-1,SWE-agent_GPT_4o,0.0
-1,SWE-agent_Claude3Opus,0.0
0,ExpeRepair_Claude4,0.7166666666666667
0,SWE-agent_Claude4,0.6666666666666666
0,Refact_ai_Agent,0.65
0,SWE-agent_Claude3_7,0.6333333333333333
0,KGCompass_Claude4,0.6166666666666667
0,Moatless_Tools_Deepseek_V3,0.5166666666666667
0,KGCompass_DeepSeek_V3,0.4166666666666667
0,SWE-Fixer_Qwen25-7b,0.3333333333333333
0,SWE-agent_GPT_4o,0.3333333333333333
0,SWE-agent_Claude3Opus,0.23333333333333334
1,Refact_ai_Agent,0.6875
1,ExpeRepair_Claude4,0.625
1,KGCompass_Claude4,0.625
1,SWE-agent_Claude4,0.5625
1,KGCompass_DeepSeek_V3,0.4375
1,SWE-agent_Claude3_7,0.375
1,SWE-Fixer_Qwen25-7b,0.25
1,Moatless_Tools_Deepseek_V3,0.1875
1,SWE-agent_GPT_4o,0.0625
1,SWE-agent_Claude3Opus,0.0625
2,Refact_ai_Agent,0.6225165562913907
2,KGCompass_Claude4,0.5960264900662252
2,ExpeRepair_Claude4,0.5761589403973509
2,SWE-agent_Claude4,0.5761589403973509
2,SWE-agent_Claude3_7,0.47019867549668876
2,KGCompass_DeepSeek_V3,0.3973509933774834
2,Moatless_Tools_Deepseek_V3,0.271523178807947
2,SWE-Fixer_Qwen25-7b,0.23841059602649006
2,SWE-agent_GPT_4o,0.17880794701986755
2,SWE-agent_Claude3Opus,0.10596026490066225
3,Refact_ai_Agent,0.3870967741935484
3,ExpeRepair_Claude4,0.3548387096774194
3,KGCompass_Claude4,0.3548387096774194
3,SWE-agent_Claude4,0.3548387096774194
3,SWE-agent_Claude3_7,0.3225806451612903
3,Moatless_Tools_Deepseek_V3,0.1935483870967742
3,KGCompass_DeepSeek_V3,0.12903225806451613
3,SWE-Fixer_Qwen25-7b,0.12903225806451613
3,SWE-agent_GPT_4o,0.0967741935483871
3,SWE-agent_Claude3Opus,0.06451612903225806
4,ExpeRepair_Claude4,0.71875
4,KGCompass_Claude4,0.71875
4,Refact_ai_Agent,0.65625
4,SWE-agent_Claude4,0.53125
4,SWE-agent_Claude3_7,0.4375
4,KGCompass_DeepSeek_V3,0.34375
4,Moatless_Tools_Deepseek_V3,0.28125
4,SWE-Fixer_Qwen25-7b,0.1875
4,SWE-agent_GPT_4o,0.125
4,SWE-agent_Claude3Opus,0.0625
